ds,sig,T,n_gt,n_s1,mode,f1_s1,p_s1,r_s1,f1_out,p_out,r_out,f1_oracle,oracle_gap,gap_recovery,n_kept,n_api,l_option_acc,r_option_acc,tp_retention,fp_rejection,false_discard,n_tp,n_fp,s1_ivs,out_ivs,oracle_ivs
MSL,T-8,2267,2,1,B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,0.0,1.0,,0.0,1,0,"[[1512, 2127]]","[[1512, 2127]]","[[1512, 2127]]"
NAB,ec2_cpu_utilization_24ae8d,4032,2,2,B,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,,1,2,0.0,0.0,1.0,1.0,0.0,1,1,"[[2632, 2855], [3416, 4031]]","[[3416, 4031]]","[[2632, 2855], [3416, 4031]]"
NAB,ec2_cpu_utilization_53ea38,4032,2,2,B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.0,1.0,,0.0,2,0,"[[1288, 1791], [2576, 2855]]","[[1288, 1791], [2576, 2855]]","[[1288, 1791], [2576, 2855]]"
NAB,ec2_cpu_utilization_5f5533,4032,2,2,B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.0,1.0,,0.0,2,0,"[[1120, 1399], [2744, 3191]]","[[1120, 1399], [2744, 3191]]","[[1120, 1399], [2744, 3191]]"
NAB,ec2_cpu_utilization_77c1ca,4032,1,2,B,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,,1,2,0.0,0.0,0.0,0.0,1.0,1,1,"[[1288, 2015], [3136, 3359]]","[[3136, 3359]]","[[1288, 2015], [3136, 3359]]"
NAB,ec2_cpu_utilization_825cc2,4032,1,1,B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,0.0,1.0,,0.0,1,0,"[[1512, 2071]]","[[1512, 2071]]","[[1512, 2071]]"
NAB,ec2_cpu_utilization_ac20cd,4032,1,2,B,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[336, 671], [3360, 3751]]","[[336, 671], [3360, 3751]]","[[336, 671], [3360, 3751]]"
NAB,ec2_cpu_utilization_fe7f93,3958,3,3,B,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.46666666666666673,0.0,3,3,0.0,0.0,1.0,0.0,0.0,1,2,"[[0, 223], [672, 951], [2800, 3191]]","[[0, 223], [672, 951], [2800, 3191]]","[[0, 872], [672, 951], [2527, 3191]]"
NAB,ec2_disk_write_bytes_1ef3de,4730,1,4,B,0.4,0.25,1.0,0.4,0.25,1.0,0.6666666666666666,0.2666666666666666,0.0,4,4,0.0,0.0,1.0,0.0,0.0,1,3,"[[448, 727], [2408, 2799], [3136, 3359], [4424, 4703]]","[[448, 727], [2408, 2799], [3136, 3359], [4424, 4703]]","[[448, 727], [2408, 2799], [2464, 3359], [4424, 4703]]"
NAB,ec2_disk_write_bytes_c0d644,4032,3,3,B,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.5,0.3333333333333333,1.0,0.33333333333333337,-0.7999999999999997,2,3,0.0,0.0,0.5,0.0,0.5,2,1,"[[1624, 2015], [2576, 2855], [3080, 3303]]","[[1624, 2015], [2576, 2855]]","[[1624, 2415], [2576, 2989], [3080, 3303]]"
NAB,ec2_network_in_257a54,4032,1,1,B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,0.0,1.0,,0.0,1,0,"[[1400, 1959]]","[[1400, 1959]]","[[1400, 1959]]"
NAB,ec2_network_in_5abac7,4730,2,3,B,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.0,,3,3,0.0,0.0,1.0,0.0,0.0,1,2,"[[448, 783], [2408, 2799], [4424, 4703]]","[[448, 783], [2408, 2799], [4424, 4703]]","[[448, 783], [2408, 2799], [4424, 4703]]"
NAB,elb_request_count_8c0756,4032,2,2,B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.0,1.0,,0.0,2,0,"[[560, 839], [3472, 3919]]","[[560, 839], [3472, 3919]]","[[560, 839], [3472, 3919]]"
NAB,grok_asg_anomaly,4621,3,2,B,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.0,,1,2,0.0,0.0,0.5,,0.5,2,0,"[[1120, 1567], [3584, 3919]]","[[3584, 3919]]","[[1120, 1567], [3584, 3919]]"
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,1243,2,1,B,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,0.33333333333333337,0.0,1,1,0.0,0.0,1.0,,0.0,1,0,"[[0, 279]]","[[0, 279]]","[[0, 875]]"
NAB,rds_cpu_utilization_cc0c53,4032,2,1,B,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,0.33333333333333337,0.0,1,1,0.0,0.0,1.0,,0.0,1,0,"[[2800, 3359]]","[[2800, 3359]]","[[2800, 3850]]"
NAB,rds_cpu_utilization_e47b3b,4032,2,3,B,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.0,,3,3,0.0,0.0,1.0,0.0,0.0,2,1,"[[728, 1119], [2408, 2687], [3472, 3695]]","[[728, 1119], [2408, 2687], [3472, 3695]]","[[728, 1119], [2408, 2687], [3472, 3695]]"
SMAP,D-1,11358,1,3,B,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.0,,1,3,0.0,0.0,1.0,1.0,0.0,1,2,"[[56, 447], [1680, 1959], [7952, 8903]]","[[7952, 8903]]","[[56, 447], [1680, 1959], [7952, 8903]]"
SMAP,E-1,11396,2,4,B,0.3333333333333333,0.25,0.5,0.3333333333333333,0.25,0.5,0.4,0.06666666666666671,0.0,4,4,0.0,0.0,1.0,0.0,0.0,1,3,"[[1232, 1567], [2632, 2855], [8232, 8903], [10640, 11199]]","[[1232, 1567], [2632, 2855], [8232, 8903], [10640, 11199]]","[[1232, 1567], [2632, 2855], [7868, 8903], [10640, 11199]]"
SMAP,E-2,11412,1,5,B,0.33333333333333337,0.2,1.0,0.4,0.25,1.0,0.33333333333333337,0.0,,4,5,0.0,0.0,1.0,0.25,0.0,1,4,"[[56, 391], [784, 1063], [1344, 1567], [2464, 2911], [8288, 8959]]","[[56, 391], [784, 1063], [2464, 2911], [8288, 8959]]","[[56, 391], [784, 1063], [1344, 1567], [2464, 2911], [8288, 8959]]"
SMAP,E-3,11187,1,4,B,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,4,4,0.0,0.0,1.0,0.0,0.0,2,2,"[[280, 559], [2632, 3079], [8288, 8679], [9352, 10023]]","[[280, 559], [2632, 3079], [8288, 8679], [9352, 10023]]","[[280, 559], [2632, 3079], [8288, 8679], [9352, 10023]]"
SMAP,E-4,11234,1,7,B,0.6,0.42857142857142855,1.0,0.6,0.42857142857142855,1.0,0.6,0.0,,7,7,0.0,0.0,1.0,0.0,0.0,3,4,"[[56, 335], [784, 1063], [1344, 1567], [2464, 2855], [8344, 8791], [9184, 9463], [10528, 10919]]","[[56, 335], [784, 1063], [1344, 1567], [2464, 2855], [8344, 8791], [9184, 9463], [10528, 10919]]","[[56, 335], [784, 1063], [1344, 1567], [2464, 2855], [8344, 8791], [9184, 9463], [10528, 10919]]"
SMAP,E-5,11174,1,5,B,0.33333333333333337,0.2,1.0,0.4,0.25,1.0,0.33333333333333337,0.0,,4,5,0.0,0.0,1.0,0.25,0.0,1,4,"[[56, 391], [1232, 1623], [2576, 3079], [8288, 8735], [10584, 10863]]","[[56, 391], [1232, 1623], [2576, 3079], [8288, 8735]]","[[56, 391], [1232, 1623], [2576, 3079], [8288, 8735], [10584, 10863]]"
SMAP,E-6,11180,1,5,B,0.33333333333333337,0.2,1.0,1.0,1.0,1.0,0.33333333333333337,0.0,,1,5,0.0,0.0,1.0,1.0,0.0,1,4,"[[1288, 1623], [2688, 2967], [4536, 4871], [8120, 8847], [10752, 11087]]","[[8120, 8847]]","[[1288, 1623], [2688, 2967], [4536, 4871], [8120, 8847], [10752, 11087]]"
SMAP,E-7,11079,1,3,B,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.0,,1,3,0.0,0.0,1.0,1.0,0.0,1,2,"[[4760, 5207], [6216, 6495], [7952, 8847]]","[[7952, 8847]]","[[4760, 5207], [6216, 6495], [7952, 8847]]"
SMAP,F-1,11453,1,5,B,0.33333333333333337,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.0,,5,5,0.0,0.0,1.0,0.0,0.0,1,4,"[[0, 559], [896, 1175], [3920, 4311], [8064, 8511], [10192, 10583]]","[[0, 559], [896, 1175], [3920, 4311], [8064, 8511], [10192, 10583]]","[[0, 559], [896, 1175], [3920, 4311], [8064, 8511], [10192, 10583]]"
SMAP,F-2,11487,1,3,B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,3,3,0.0,0.0,1.0,,0.0,3,0,"[[8456, 8679], [9408, 10247], [10808, 11423]]","[[8456, 8679], [9408, 10247], [10808, 11423]]","[[8456, 8679], [9408, 10247], [10808, 11423]]"
SMAP,F-3,11256,1,2,B,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[2016, 3191], [8232, 8735]]","[[2016, 3191], [8232, 8735]]","[[2016, 3191], [8232, 8735]]"
SMAP,P-1,11377,3,4,B,0.8571428571428571,0.75,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.0,,3,4,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,3,1,"[[4928, 5263], [6272, 6663], [7000, 7727], [9632, 10023]]","[[4928, 5263], [6272, 6663], [9632, 10023]]","[[4928, 5263], [6272, 6663], [7000, 7727], [9632, 10023]]"
SMAP,T-1,11487,2,3,B,0.5714285714285715,0.6666666666666666,0.5,0.5,0.5,0.5,0.5714285714285715,0.0,,2,3,0.0,0.0,0.5,0.0,0.5,2,1,"[[2576, 3023], [5264, 5599], [6048, 6999]]","[[2576, 3023], [6048, 6999]]","[[2576, 3023], [5264, 5599], [6048, 6999]]"
