case_id,case_type,ground_truth,model_answer,model_reason,model_confidence
C3_028,C3,broken,maintained,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
C3_029,C3,broken,maintained,The two channels move together in a consistent phase relationship throughout the entire interval.,0.95
C4_002,C4,broken,maintained,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",0.95
C4_005,C4,broken,maintained,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",0.95
C4_006,C4,broken,maintained,"The two channels move in sync with each other throughout the entire interval, maintaining a consistent phase relationship.",0.95
C4_013,C4,broken,maintained,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
C4_014,C4,broken,maintained,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",0.95
C4_019,C4,broken,maintained,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",0.95
C4_020,C4,broken,maintained,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",0.95
C5_000,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_001,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_002,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",0.95
C5_003,C5,broken,maintained,"Channel A and Channel B move together consistently throughout the entire interval, maintaining a stable phase relationship.",0.95
C5_004,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_005,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_006,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_007,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_008,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_009,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_010,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_011,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_012,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_013,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_014,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_015,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_016,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_017,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_018,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_019,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_020,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_021,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_022,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_023,C5,broken,maintained,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",0.95
C5_024,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_026,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_027,C5,broken,maintained,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_028,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
C5_029,C5,broken,maintained,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",0.95
