case_id,scenario,n_affected,lag,vis_condition,channel,true_role,sub_role,break_type,homogeneous,pred_role,correct,parse_status
NA0_LAG10_003_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_003_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_004_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_004_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_004_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_005_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_005_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_005_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_005_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_006_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_006_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_006_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_006_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_007_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_008_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_008_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_008_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_009_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_010_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_010_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_010_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_010_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_011_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_012_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_012_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_012_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_012_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,root,False,OK
NA0_LAG10_013_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_013_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_014_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_016_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_overlay,NA0_LAG10,0.0,10.0,overlay,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021_subplot,NA0_LAG10,0.0,10.0,subplot,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022_overlay,NA0_LAG10,0.0,10.0,overlay,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022_overlay,NA0_LAG10,0.0,10.0,overlay,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022_overlay,NA0_LAG10,0.0,10.0,overlay,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022_subplot,NA0_LAG10,0.0,10.0,subplot,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022_subplot,NA0_LAG10,0.0,10.0,subplot,2,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_022_subplot,NA0_LAG10,0.0,10.0,subplot,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022_subplot,NA0_LAG10,0.0,10.0,subplot,4,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_022_subplot,NA0_LAG10,0.0,10.0,subplot,5,unrelated,unrelated,,,affected,False,OK
NA0_LAG10_023_overlay,NA0_LAG10,0.0,10.0,overlay,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_023_overlay,NA0_LAG10,0.0,10.0,overlay,3,unrelated,unrelated,,,unrelated,True,OK
