case_id,status,judge_status,case_type,ground_truth_label,model_answer,model_confidence,model_reason,reason_type,judge_rationale
C2_021,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where Channel B remains flat while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_022,OK,OK,C2,broken,broken,0.95,"Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,Mock classification for pipeline validation.
C2_023,OK,OK,C2,broken,broken,0.95,The relationship breaks down around the midpoint where Channel B becomes constant while Channel A continues oscillating.,relational,Mock classification for pipeline validation.
C2_024,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_025,OK,OK,C2,broken,broken,0.95,The relationship breaks down between time steps 100 and 200 where Channel B becomes constant while Channel A continues to oscillate.,relational,Mock classification for pipeline validation.
C2_026,OK,OK,C2,broken,broken,0.95,"The relationship breaks down between time steps 100 and 200, where Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_027,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,Mock classification for pipeline validation.
C2_028,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C2_029,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,Mock classification for pipeline validation.
C3_000,OK,OK,C3,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C3_001,OK,OK,C3,broken,maintained,0.95,"The two channels move in sync with each other throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C3_002,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C3_003,OK,OK,C3,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_004,OK,OK,C3,broken,maintained,0.95,The two channels move in sync with a stable phase relationship throughout the entire interval.,relational,Mock classification for pipeline validation.
C3_005,OK,OK,C3,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_006,OK,OK,C3,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to move out of sync and do not fully recover.",relational,Mock classification for pipeline validation.
C3_007,OK,OK,C3,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly before realigning.",relational,Mock classification for pipeline validation.
C3_008,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C3_009,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_010,OK,OK,C3,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_011,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_012,OK,OK,C3,broken,maintained,0.95,The two channels move in sync with a stable phase relationship throughout the entire interval.,relational,Mock classification for pipeline validation.
C3_013,OK,OK,C3,broken,maintained,0.95,"The two channels move in a consistent phase relationship throughout the entire interval, with no significant divergence.",relational,Mock classification for pipeline validation.
C3_014,OK,OK,C3,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to move out of sync and do not fully recover.",relational,Mock classification for pipeline validation.
C3_015,OK,OK,C3,broken,maintained,0.95,"The two channels move in a consistent phase relationship throughout the entire interval, with no significant divergence.",relational,Mock classification for pipeline validation.
C3_016,OK,OK,C3,broken,maintained,0.95,The two channels move together in a consistent phase relationship throughout the entire interval.,relational,Mock classification for pipeline validation.
C3_017,OK,OK,C3,broken,maintained,0.95,The two channels move together in a consistent phase relationship throughout the entire interval.,relational,Mock classification for pipeline validation.
C3_018,OK,OK,C3,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_019,OK,OK,C3,broken,maintained,0.95,"Channel A and Channel B move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C3_020,OK,OK,C3,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_021,OK,OK,C3,broken,maintained,0.95,The two channels move together in a consistent phase relationship throughout the entire interval.,relational,Mock classification for pipeline validation.
C3_022,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C3_023,OK,OK,C3,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_024,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C3_025,OK,OK,C3,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the midpoint, where they become out of phase, and does not fully recover.",relational,Mock classification for pipeline validation.
C3_026,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C3_027,OK,OK,C3,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they become out of phase, and does not fully recover.",relational,Mock classification for pipeline validation.
C3_028,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C3_029,OK,OK,C3,broken,maintained,0.95,The two channels move together in a consistent phase relationship throughout the entire interval.,relational,Mock classification for pipeline validation.
C4_000,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_001,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_002,OK,OK,C4,broken,maintained,0.95,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C4_003,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_004,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly and do not fully recover synchronization.",relational,Mock classification for pipeline validation.
C4_005,OK,OK,C4,broken,maintained,0.95,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C4_006,OK,OK,C4,broken,maintained,0.95,"The two channels move in sync with each other throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C4_007,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly and do not fully recover synchronization.",relational,Mock classification for pipeline validation.
C4_008,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_009,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_010,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_011,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_012,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_013,OK,OK,C4,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C4_014,OK,OK,C4,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,Mock classification for pipeline validation.
C4_015,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_016,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_017,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_018,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_019,OK,OK,C4,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C4_020,OK,OK,C4,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C4_021,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_022,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_023,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly and do not fully recover synchronization.",relational,Mock classification for pipeline validation.
C4_024,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_025,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_026,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_027,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C4_028,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly.",relational,Mock classification for pipeline validation.
C4_029,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,Mock classification for pipeline validation.
C5_000,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_001,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_002,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",relational,Mock classification for pipeline validation.
C5_003,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,Mock classification for pipeline validation.
C5_004,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_005,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_006,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_007,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_008,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_009,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_010,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_011,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_012,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_013,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_014,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_015,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_016,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_017,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_018,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
C5_019,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,Mock classification for pipeline validation.
