segment,gt_size,gt,top8_pred,top8_precision,top8_recall,top8_f1,vlm_pred,vlm_pred_size,vlm_precision,vlm_recall,vlm_f1,diff_f1
machine-2-9_17914_18096,5,10 11 12 14 15,1 9 12 15 18 21 23 25,0.25,0.4,0.3077,1 9 12 23 25,5,0.2,0.2,0.2,-0.1077
machine-2-9_24475_24478,4,8 12 13 14,8 9 12 13 14 19 21 30,0.5,1.0,0.6667,8 9 12 13 14,5,0.8,1.0,0.8889,0.2222
machine-3-10_10772_10782,4,8 11 12 13,8 11 13 21 22 33 34 35,0.375,0.75,0.5,8 11 13 21 22 33 34 35,8,0.375,0.75,0.5,0.0
machine-3-1_10696_10717,8,0 1 18 19 20 21 27 30,19 20 21 27 29 30 34 35,0.625,0.625,0.625,19 20 21 27 30,5,1.0,0.625,0.7692,0.1442
machine-3-2_135_161,4,9 11 12 35,8 11 22 23 25 31 34 35,0.25,0.5,0.3333,8 22 31 34,4,0.0,0.0,0.0,-0.3333
machine-3-2_3080_3917,4,8 12 13 16,3 16 19 23 25 31 34 35,0.125,0.25,0.1667,3 16 19 23 25 31 34 35,8,0.125,0.25,0.1667,0.0
machine-3-3_15139_15142,4,9 10 11 12,9 15 19 22 24 31 36 37,0.125,0.25,0.1667,15 19 22 24 31 36 37,7,0.0,0.0,0.0,-0.1667
machine-3-3_20897_20903,4,9 10 11 12,8 9 12 14 15 19 26 31,0.25,0.5,0.3333,8 9 12 14 15 19 26 31,8,0.25,0.5,0.3333,0.0
machine-3-4_10963_10969,3,29 32 33,5 6 9 11 23 24 25 33,0.125,0.3333,0.1818,5 6 9 11 23 24 25 33,8,0.125,0.3333,0.1818,0.0
machine-3-5_15953_16057,8,5 6 22 23 24 25 29 31,5 6 22 23 24 25 29 31,1.0,1.0,1.0,5 6 22 23 24 25 29 31,8,1.0,1.0,1.0,0.0
machine-3-6_15633_15863,8,0 8 9 11 12 13 14 15,0 5 12 18 19 22 34 35,0.25,0.25,0.25,0 5 12,3,0.6667,0.25,0.3636,0.1136
machine-3-8_21405_21548,4,8 9 11 12,1 3 6 11 14 23 25 35,0.125,0.25,0.1667,1 3 6 11 14 23 25 35,8,0.125,0.25,0.1667,0.0
machine-3-8_23478_23781,5,8 9 12 13 29,0 18 19 20 24 25 27 29,0.125,0.2,0.1538,0 18 19 20 24 25 27 29,8,0.125,0.2,0.1538,0.0
