pass,entity,start,end,length,csc,pct,prior,verdict,conf,keep,is_tp,flag,norm_s,anom_s,reason
1,machine-1-5,10416,10807,392,0.17936553633106606,92.85714285714286,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear channel-specific changes indicate a strong anomaly despite some visual consistency.
1,machine-1-5,11704,11927,224,0.17520335788140073,91.19047619047619,MOD,NORMAL,2,False,True,TP,moderate,moderate,Score is elevated but within natural variation; temporal context suggests a post-peak plateau indicating a new stable st
1,machine-1-5,12600,12991,392,0.1986848475145442,98.09523809523809,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual deviation in multiple channels indicate a strong anomaly within an active cluster.
1,machine-1-5,13608,13663,56,0.17035484686493874,83.80952380952381,MOD,ANOMALY,2,True,False,FP,moderate,moderate,"Score is elevated post-peak with specific channel changes, suggesting ongoing structural change."
1,machine-1-5,13888,14279,392,0.1809547714157296,93.80952380952381,HIGH,ANOMALY,3,True,True,TP,weak,strong,"High prior score and distinct channel changes indicate a strong anomaly, with no clear post-peak plateau suggesting a ne"
1,machine-1-5,14336,14951,616,0.18990587180649693,97.14285714285714,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear channel-specific changes indicate a strong anomaly despite post-peak timing.
1,machine-1-5,15344,15791,448,0.17239923815941438,88.09523809523809,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The candidate is in a post-peak plateau with moderate score elevation, suggesting a new stable state rather than an ongo"
1,machine-1-5,16352,16519,168,0.17202440005106232,87.14285714285714,MOD,NORMAL,2,False,False,FP,moderate,moderate,Score is elevated but candidate is in a post-peak plateau suggesting a new stable state; visual evidence shows changes b
1,machine-1-5,19376,19431,56,0.17089309450238943,85.0,MOD,NORMAL,2,False,False,FP,moderate,moderate,Score is elevated but within natural variation; temporal context suggests post-peak plateau indicating a new stable stat
1,machine-1-5,19488,19599,112,0.16962528484873474,82.85714285714286,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The candidate is in a post-peak plateau with moderate score elevation, suggesting a new stable state rather than an ongo"
1,machine-1-5,20608,21559,952,0.17908218686523683,92.61904761904762,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear channel-specific changes indicate a strong anomaly despite some visual consistency.
1,machine-1-5,21952,22231,280,0.18003786052577198,93.0952380952381,HIGH,ANOMALY,3,True,True,TP,weak,strong,"High prior score and clear channel shifts indicate an anomaly, supported by post-peak plateau context."
