case_id,scenario,n_affected,lag,channel,true_role,sub_role,break_type,homogeneous,pred_role,correct,parse_status
NA0_LAG10_005,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_005,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_006,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_007,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_008,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_009,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_010,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_011,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_012,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_013,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_014,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_015,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_016,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_017,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_018,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_019,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_020,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_021,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_022,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_023,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_023,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_023,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_023,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_023,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_024,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_024,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_024,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_024,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_024,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_025,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_025,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_025,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_025,NA0_LAG10,0.0,10.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_025,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_026,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_026,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_026,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_026,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_026,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_027,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_027,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_027,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_027,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_027,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_028,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_028,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_028,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_028,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_028,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_029,NA0_LAG10,0.0,10.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_029,NA0_LAG10,0.0,10.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_029,NA0_LAG10,0.0,10.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_029,NA0_LAG10,0.0,10.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG10_029,NA0_LAG10,0.0,10.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_000,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_000,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_000,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_000,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_000,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_001,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_001,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_001,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_001,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_001,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_002,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_002,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_002,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_002,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_002,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_003,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_003,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_003,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_003,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_003,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_004,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_004,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_004,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_004,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_004,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_005,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_005,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_005,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_005,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_005,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_006,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_006,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_006,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_006,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_006,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_007,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_007,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_007,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_007,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_007,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_008,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_008,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_008,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_008,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_008,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_009,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_009,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_009,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_009,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_009,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_010,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_010,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_010,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_010,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_010,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_011,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_011,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_011,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_011,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_011,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_012,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_012,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_012,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_012,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_012,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_013,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_013,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_013,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_013,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_013,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_014,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_014,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_014,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_014,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_014,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_015,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_015,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_015,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_015,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_015,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_016,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_016,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_016,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_016,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_016,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_017,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_017,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_017,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_017,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_017,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_018,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_018,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_018,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_018,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_018,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_019,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_019,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_019,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_019,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_019,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_020,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_020,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_020,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_020,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_020,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_021,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_021,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_021,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_021,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_021,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_022,NA0_LAG50,0.0,50.0,2,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_022,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_022,NA0_LAG50,0.0,50.0,4,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_022,NA0_LAG50,0.0,50.0,5,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_022,NA0_LAG50,0.0,50.0,6,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_023,NA0_LAG50,0.0,50.0,1,unrelated,unrelated,,,unrelated,True,OK
NA0_LAG50_023,NA0_LAG50,0.0,50.0,3,unrelated,unrelated,,,unrelated,True,OK
