ds,sig,T,n_gt,n_s1,mode,f1_s1,p_s1,r_s1,f1_out,p_out,r_out,f1_oracle,oracle_gap,gap_recovery,n_kept,n_api,l_option_acc,r_option_acc,tp_retention,fp_rejection,false_discard,n_tp,n_fp,s1_ivs,out_ivs,oracle_ivs
NAB,ec2_cpu_utilization_fe7f93,3958,3,3,A,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.46666666666666673,0.0,3,3,0.3333333333333333,0.0,1.0,0.0,0.0,1,2,"[[0, 223], [672, 951], [2800, 3191]]","[[0, 308], [637, 973], [2757, 3872]]","[[0, 872], [672, 951], [2527, 3191]]"
NAB,ec2_disk_write_bytes_1ef3de,4730,1,4,A,0.4,0.25,1.0,0.4,0.25,1.0,0.6666666666666666,0.2666666666666666,0.0,4,4,0.0,0.25,1.0,0.0,0.0,1,3,"[[448, 727], [2408, 2799], [3136, 3359], [4424, 4703]]","[[414, 749], [2386, 2811], [2940, 3388], [4389, 4703]]","[[448, 727], [2408, 2799], [2464, 3359], [4424, 4703]]"
NAB,ec2_disk_write_bytes_c0d644,4032,3,3,A,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,1.0,1.0,0.33333333333333337,0.4000000000000002,3,3,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,2,1,"[[1624, 2015], [2576, 2855], [3080, 3303]]","[[1624, 2415], [2542, 2877], [2996, 3357]]","[[1624, 2415], [2576, 2989], [3080, 3303]]"
NAB,ec2_network_in_257a54,4032,1,1,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,0.0,1.0,1.0,,0.0,1,0,"[[1400, 1959]]","[[1386, 1959]]","[[1400, 1959]]"
NAB,ec2_network_in_5abac7,4730,2,3,A,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.0,,3,3,0.0,0.3333333333333333,1.0,0.0,0.0,1,2,"[[448, 783], [2408, 2799], [4424, 4703]]","[[413, 1302], [2359, 2809], [4390, 4703]]","[[448, 783], [2408, 2799], [4424, 4703]]"
NAB,elb_request_count_8c0756,4032,2,2,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.5,1.0,,0.0,2,0,"[[560, 839], [3472, 3919]]","[[525, 861], [3417, 3919]]","[[560, 839], [3472, 3919]]"
NAB,grok_asg_anomaly,4621,3,2,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.0,1.0,,0.0,2,0,"[[1120, 1567], [3584, 3919]]","[[1064, 1569], [3566, 4102]]","[[1120, 1567], [3584, 3919]]"
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,1243,2,1,A,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,0.33333333333333337,0.0,1,1,1.0,0.0,1.0,,0.0,1,0,"[[0, 279]]","[[0, 304]]","[[0, 875]]"
NAB,rds_cpu_utilization_cc0c53,4032,2,1,A,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.33333333333333337,1.0,1,1,0.0,1.0,1.0,,0.0,1,0,"[[2800, 3359]]","[[2786, 3850]]","[[2800, 3850]]"
NAB,rds_cpu_utilization_e47b3b,4032,2,3,A,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.0,,3,3,0.0,0.0,1.0,0.0,0.0,2,1,"[[728, 1119], [2408, 2687], [3472, 3695]]","[[680, 1128], [2374, 2710], [3389, 3724]]","[[728, 1119], [2408, 2687], [3472, 3695]]"
SMAP,D-1,11358,1,3,A,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.0,,3,3,0.0,0.0,1.0,0.0,0.0,1,2,"[[56, 447], [1680, 1959], [7952, 8903]]","[[9, 456], [1645, 1981], [7847, 9177]]","[[56, 447], [1680, 1959], [7952, 8903]]"
SMAP,E-1,11396,2,4,A,0.3333333333333333,0.25,0.5,0.4,0.25,1.0,0.4,0.06666666666666671,1.0,4,4,0.25,0.0,1.0,0.0,0.0,1,3,"[[1232, 1567], [2632, 2855], [8232, 8903], [10640, 11199]]","[[1134, 1583], [2604, 3220], [7868, 9268], [10626, 11300]]","[[1232, 1567], [2632, 2855], [7868, 8903], [10640, 11199]]"
SMAP,E-2,11412,1,5,A,0.33333333333333337,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.0,,5,5,0.0,0.0,1.0,0.0,0.0,1,4,"[[56, 391], [784, 1063], [1344, 1567], [2464, 2911], [8288, 8959]]","[[14, 406], [750, 1197], [1204, 1708], [1848, 3304], [8261, 9212]]","[[56, 391], [784, 1063], [1344, 1567], [2464, 2911], [8288, 8959]]"
SMAP,E-3,11187,1,4,A,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,4,4,0.0,0.0,1.0,0.0,0.0,2,2,"[[280, 559], [2632, 3079], [8288, 8679], [9352, 10023]]","[[250, 581], [2464, 3304], [8239, 8688], [8316, 10612]]","[[280, 559], [2632, 3079], [8288, 8679], [9352, 10023]]"
SMAP,E-4,11234,1,7,A,0.6,0.42857142857142855,1.0,0.6,0.42857142857142855,1.0,0.6,0.0,,7,7,0.0,0.14285714285714285,1.0,0.0,0.0,3,4,"[[56, 335], [784, 1063], [1344, 1567], [2464, 2855], [8344, 8791], [9184, 9463], [10528, 10919]]","[[25, 357], [750, 1197], [1204, 1764], [2121, 3144], [8288, 8791], [8421, 9487], [10479, 11151]]","[[56, 335], [784, 1063], [1344, 1567], [2464, 2855], [8344, 8791], [9184, 9463], [10528, 10919]]"
SMAP,E-5,11174,1,5,A,0.33333333333333337,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.0,,5,5,0.0,0.0,1.0,0.0,0.0,1,4,"[[56, 391], [1232, 1623], [2576, 3079], [8288, 8735], [10584, 10863]]","[[14, 407], [1169, 1729], [2569, 3080], [8232, 9016], [10493, 11109]]","[[56, 391], [1232, 1623], [2576, 3079], [8288, 8735], [10584, 10863]]"
SMAP,E-6,11180,1,5,A,0.33333333333333337,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.0,,5,5,0.0,0.0,1.0,0.0,0.0,1,4,"[[1288, 1623], [2688, 2967], [4536, 4871], [8120, 8847], [10752, 11087]]","[[1250, 1666], [2654, 3047], [4494, 4887], [8029, 8849], [10375, 11102]]","[[1288, 1623], [2688, 2967], [4536, 4871], [8120, 8847], [10752, 11087]]"
SMAP,E-7,11079,1,3,A,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.0,,3,3,0.0,0.0,1.0,0.0,0.0,1,2,"[[4760, 5207], [6216, 6495], [7952, 8847]]","[[4705, 5320], [6181, 6631], [7897, 9240]]","[[4760, 5207], [6216, 6495], [7952, 8847]]"
SMAP,F-1,11453,1,5,A,0.33333333333333337,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.0,,5,5,0.2,0.0,1.0,0.0,0.0,1,4,"[[0, 559], [896, 1175], [3920, 4311], [8064, 8511], [10192, 10583]]","[[0, 560], [301, 1253], [3872, 4320], [7841, 8736], [10144, 10689]]","[[0, 559], [896, 1175], [3920, 4311], [8064, 8511], [10192, 10583]]"
SMAP,F-2,11487,1,3,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,3,3,0.0,0.3333333333333333,1.0,,0.0,3,0,"[[8456, 8679], [9408, 10247], [10808, 11423]]","[[8428, 8764], [8407, 10577], [10563, 11423]]","[[8456, 8679], [9408, 10247], [10808, 11423]]"
SMAP,F-3,11256,1,2,A,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.0,0.0,1.0,0.0,0.0,1,1,"[[2016, 3191], [8232, 8735]]","[[1869, 3224], [8225, 9135]]","[[2016, 3191], [8232, 8735]]"
SMAP,P-1,11377,3,4,A,0.8571428571428571,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,0.0,,4,4,0.0,0.0,1.0,0.0,0.0,3,1,"[[4928, 5263], [6272, 6663], [7000, 7727], [9632, 10023]]","[[4887, 5278], [6055, 6769], [6797, 7750], [9527, 10031]]","[[4928, 5263], [6272, 6663], [7000, 7727], [9632, 10023]]"
SMAP,T-1,11487,2,3,A,0.5714285714285715,0.6666666666666666,0.5,0.5714285714285715,0.6666666666666666,0.5,0.5714285714285715,0.0,,3,3,0.0,0.3333333333333333,1.0,0.0,0.0,2,1,"[[2576, 3023], [5264, 5599], [6048, 6999]]","[[2520, 3360], [5111, 5866], [5831, 6999]]","[[2576, 3023], [5264, 5599], [6048, 6999]]"
