ds,sig,T,n_gt,n_s1,f1_s1,p_s1,r_s1,f1_v5,p_v5,r_v5,f1_oracle,oracle_gap,gap_recovery,n_kept,n_api,l_option_acc,r_option_acc,s1_ivs,v5_ivs,oracle_ivs
NAB,ec2_disk_write_bytes_c0d644,4032,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,1.0,0.8,0.13333333333333341,1.0,3,3,0.0,0.3333333333333333,"[[1624, 2015], [2576, 2855], [3080, 3303]]","[[1284, 2857], [2572, 2857], [3078, 3358]]","[[1624, 2857], [2576, 2855], [3080, 3303]]"
NAB,ec2_network_in_257a54,4032,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1,1.0,0.0,"[[1400, 1959]]","[[1400, 1960]]","[[1400, 1959]]"
NAB,ec2_network_in_5abac7,4730,2,3,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.0,,3,3,0.0,0.3333333333333333,"[[448, 783], [2408, 2799], [4424, 4703]]","[[444, 784], [2405, 2799], [4366, 4704]]","[[448, 783], [2408, 2799], [4424, 4703]]"
NAB,elb_request_count_8c0756,4032,2,2,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.0,,1,2,0.5,0.5,"[[560, 839], [3472, 3919]]","[[3468, 3972]]","[[560, 839], [3472, 3919]]"
NAB,grok_asg_anomaly,4621,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,2,2,0.0,0.0,"[[1120, 1567], [3584, 3919]]","[[1117, 1620], [3580, 4588]]","[[1120, 1567], [3584, 3919]]"
NAB,iio_us-east-1_i-a2eb1cd9_NetworkIn,1243,2,1,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.0,,1,1,1.0,0.0,"[[0, 279]]","[[0, 280]]","[[0, 279]]"
NAB,rds_cpu_utilization_cc0c53,4032,2,1,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.0,,1,1,0.0,1.0,"[[2800, 3359]]","[[2796, 3359]]","[[2800, 3359]]"
NAB,rds_cpu_utilization_e47b3b,4032,2,3,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.0,,3,3,0.0,0.0,"[[728, 1119], [2408, 2687], [3472, 3695]]","[[725, 1121], [2404, 2688], [3412, 3748]]","[[728, 1119], [2408, 2687], [3472, 3695]]"
SMAP,D-1,11358,1,3,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.0,,1,3,0.6666666666666666,1.0,"[[56, 447], [1680, 1959], [7952, 8903]]","[[7951, 8903]]","[[56, 447], [1680, 1959], [7952, 8903]]"
SMAP,E-1,11396,2,4,0.3333333333333333,0.25,0.5,0.5,0.5,0.5,0.3333333333333333,0.0,,2,4,0.5,0.75,"[[1232, 1567], [2632, 2855], [8232, 8903], [10640, 11199]]","[[8060, 8903], [10636, 11368]]","[[1232, 1567], [2632, 2855], [8232, 8903], [10640, 11199]]"
SMAP,E-2,11412,1,5,0.33333333333333337,0.2,1.0,0.4,0.25,1.0,0.33333333333333337,0.0,,4,5,0.2,1.0,"[[56, 391], [784, 1063], [1344, 1567], [2464, 2911], [8288, 8959]]","[[52, 391], [56, 1063], [1340, 2911], [8284, 8959]]","[[56, 391], [784, 1063], [1344, 1567], [2464, 2911], [8288, 8959]]"
SMAP,E-3,11187,1,4,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,4,4,0.0,0.75,"[[280, 559], [2632, 3079], [8288, 8679], [9352, 10023]]","[[220, 559], [2628, 3079], [8284, 8679], [8340, 11143]]","[[280, 559], [2632, 3079], [8288, 8679], [9352, 10023]]"
SMAP,E-4,11234,1,7,0.6,0.42857142857142855,1.0,0.6,0.42857142857142855,1.0,0.6,0.0,,7,7,0.14285714285714285,0.2857142857142857,"[[56, 335], [784, 1063], [1344, 1567], [2464, 2855], [8344, 8791], [9184, 9463], [10528, 10919]]","[[52, 335], [780, 1063], [1344, 1569], [2460, 2858], [8340, 8794], [8452, 9466], [10524, 11197]]","[[56, 335], [784, 1063], [1344, 1567], [2464, 2855], [8344, 8791], [9184, 9463], [10528, 10919]]"
SMAP,E-5,11174,1,5,0.33333333333333337,0.2,1.0,0.4,0.25,1.0,0.33333333333333337,0.0,,4,5,0.4,0.6,"[[56, 391], [1232, 1623], [2576, 3079], [8288, 8735], [10584, 10863]]","[[56, 1623], [2576, 3132], [8284, 8735], [10474, 11145]]","[[56, 391], [1232, 1623], [2576, 3079], [8288, 8735], [10584, 10863]]"
SMAP,E-6,11180,1,5,0.33333333333333337,0.2,1.0,1.0,1.0,1.0,0.33333333333333337,0.0,,1,5,0.8,1.0,"[[1288, 1623], [2688, 2967], [4536, 4871], [8120, 8847], [10752, 11087]]","[[8116, 8847]]","[[1288, 1623], [2688, 2967], [4536, 4871], [8120, 8847], [10752, 11087]]"
SMAP,E-7,11079,1,3,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.0,,3,3,0.3333333333333333,0.6666666666666666,"[[4760, 5207], [6216, 6495], [7952, 8847]]","[[4760, 5207], [6214, 6604], [7948, 8847]]","[[4760, 5207], [6216, 6495], [7952, 8847]]"
SMAP,F-1,11453,1,5,0.33333333333333337,0.2,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,,3,5,0.8,0.8,"[[0, 559], [896, 1175], [3920, 4311], [8064, 8511], [10192, 10583]]","[[0, 560], [3916, 4311], [10192, 10583]]","[[0, 559], [896, 1175], [3920, 4311], [8064, 8511], [10192, 10583]]"
SMAP,F-2,11487,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,3,3,0.0,0.0,"[[8456, 8679], [9408, 10247], [10808, 11423]]","[[8452, 9068], [8452, 11480], [9572, 11480]]","[[8456, 8679], [9408, 10247], [10808, 11423]]"
SMAP,F-3,11256,1,2,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,,2,2,0.5,0.5,"[[2016, 3191], [8232, 8735]]","[[2016, 3194], [8230, 8735]]","[[2016, 3191], [8232, 8735]]"
SMAP,P-1,11377,3,4,0.8571428571428571,0.75,1.0,0.5714285714285715,0.5,0.6666666666666666,0.8571428571428571,0.0,,2,4,0.5,0.75,"[[4928, 5263], [6272, 6663], [7000, 7727], [9632, 10023]]","[[6268, 7556], [9631, 10023]]","[[4928, 5263], [6272, 6663], [7000, 7727], [9632, 10023]]"
SMAP,T-1,11487,2,3,0.5714285714285715,0.6666666666666666,0.5,0.5714285714285715,0.6666666666666666,0.5,0.5714285714285715,0.0,,3,3,0.3333333333333333,0.3333333333333333,"[[2576, 3023], [5264, 5599], [6048, 6999]]","[[2572, 3077], [5092, 5602], [6048, 6999]]","[[2576, 3023], [5264, 5599], [6048, 6999]]"
